AC,sports_leisure,1677.46000289917
AL,health_beauty,12780.2599143982
AM,health_beauty,2776.03001785278
AP,computers_accessories,2149.51997566223
BA,health_beauty,51367.9099674225
CE,health_beauty,32419.180021286
DF,watches_gifts,32730.3698635101
ES,watches_gifts,29460.9999160767
GO,watches_gifts,33257.7198982239
MA,health_beauty,12747.1800117493
MG,health_beauty,157558.300271034
MS,health_beauty,11289.5700035095
MT,health_beauty,15301.7900485992
PA,health_beauty,23755.8301048279
PB,health_beauty,16286.9799842834
PE,health_beauty,41604.7800273895
PI,health_beauty,10290.1900234222
PR,watches_gifts,59967.0398616791
RJ,watches_gifts,185379.649646759
RN,health_beauty,13886.470035553
RO,health_beauty,7085.76003456116
RR,sports_leisure,1350.59998321533
RS,bed_bath_table,60270.7400550842
SC,sports_leisure,44116.8999023438
SE,health_beauty,8883.66000556946
SP,bed_bath_table,478284.519891739
TO,watches_gifts,5446.88999938965
